artist_id,peer_id,weight
04b09ab5-eaff-4aa6-a0fe-5d319407c42e,7f9dd08a-ec4a-4ec9-b7a6-d794039143f4,1
04b09ab5-eaff-4aa6-a0fe-5d319407c42e,c6bfb05d-f570-46c8-98e1-e25441189770,1
0632484a-38f2-42f0-bf23-ab93d683e899,c6bfb05d-f570-46c8-98e1-e25441189770,1
09b1b896-7522-4f38-9711-9c80c8121082,4d8e4e6e-72db-4439-b6c4-e652f84fbe72,1
09b1b896-7522-4f38-9711-9c80c8121082,680f50a8-ae81-478c-93ff-07447a98ae5c,1
09b1b896-7522-4f38-9711-9c80c8121082,c6bfb05d-f570-46c8-98e1-e25441189770,2
09b1b896-7522-4f38-9711-9c80c8121082,ded4b25a-e5c2-42df-a87c-fd55f294faa2,1
09b1b896-7522-4f38-9711-9c80c8121082,f0f0b4f5-0261-4bf5-ad61-7a1befec2265,1
09b1b896-7522-4f38-9711-9c80c8121082,fc00f55a-e5ba-4d97-979d-36b65a8b9d21,1
09b1b896-7522-4f38-9711-9c80c8121082,ffaa2713-37c9-44f1-bcbd-41278a6383d7,1
24ad22f5-201f-4e6f-914a-740bba823c2f,6ed02f44-34dc-4767-a323-6205a0a27819,1
24ad22f5-201f-4e6f-914a-740bba823c2f,734d0f6d-5221-4b0c-95a8-bc154ed4ae33,1
24ad22f5-201f-4e6f-914a-740bba823c2f,c6bfb05d-f570-46c8-98e1-e25441189770,1
2f3c4d70-0462-40da-bba3-0aec5772c556,c6bfb05d-f570-46c8-98e1-e25441189770,1
2f3c4d70-0462-40da-bba3-0aec5772c556,f0602f55-1770-483d-89bd-4bae0d0ac086,1
40e7db0c-e64b-4bf3-94b5-ed7cad445158,c6bfb05d-f570-46c8-98e1-e25441189770,1
4d8e4e6e-72db-4439-b6c4-e652f84fbe72,680f50a8-ae81-478c-93ff-07447a98ae5c,1
4d8e4e6e-72db-4439-b6c4-e652f84fbe72,c6bfb05d-f570-46c8-98e1-e25441189770,1
4d8e4e6e-72db-4439-b6c4-e652f84fbe72,ded4b25a-e5c2-42df-a87c-fd55f294faa2,1
4d8e4e6e-72db-4439-b6c4-e652f84fbe72,fc00f55a-e5ba-4d97-979d-36b65a8b9d21,1
4d8e4e6e-72db-4439-b6c4-e652f84fbe72,ffaa2713-37c9-44f1-bcbd-41278a6383d7,1
680f50a8-ae81-478c-93ff-07447a98ae5c,c6bfb05d-f570-46c8-98e1-e25441189770,1
680f50a8-ae81-478c-93ff-07447a98ae5c,ded4b25a-e5c2-42df-a87c-fd55f294faa2,1
680f50a8-ae81-478c-93ff-07447a98ae5c,fc00f55a-e5ba-4d97-979d-36b65a8b9d21,1
680f50a8-ae81-478c-93ff-07447a98ae5c,ffaa2713-37c9-44f1-bcbd-41278a6383d7,1
6ed02f44-34dc-4767-a323-6205a0a27819,734d0f6d-5221-4b0c-95a8-bc154ed4ae33,1
6ed02f44-34dc-4767-a323-6205a0a27819,c6bfb05d-f570-46c8-98e1-e25441189770,1
734d0f6d-5221-4b0c-95a8-bc154ed4ae33,c6bfb05d-f570-46c8-98e1-e25441189770,1
7f9dd08a-ec4a-4ec9-b7a6-d794039143f4,c6bfb05d-f570-46c8-98e1-e25441189770,1
93094f68-d3dd-44d7-9d0f-86faf22723a4,c6bfb05d-f570-46c8-98e1-e25441189770,1
c4de5739-19c3-420f-a6de-c1b4e4b821a1,c6bfb05d-f570-46c8-98e1-e25441189770,2
c6bfb05d-f570-46c8-98e1-e25441189770,ded4b25a-e5c2-42df-a87c-fd55f294faa2,3
c6bfb05d-f570-46c8-98e1-e25441189770,f0602f55-1770-483d-89bd-4bae0d0ac086,1
c6bfb05d-f570-46c8-98e1-e25441189770,f0f0b4f5-0261-4bf5-ad61-7a1befec2265,2
c6bfb05d-f570-46c8-98e1-e25441189770,fc00f55a-e5ba-4d97-979d-36b65a8b9d21,1
c6bfb05d-f570-46c8-98e1-e25441189770,ffaa2713-37c9-44f1-bcbd-41278a6383d7,1
ded4b25a-e5c2-42df-a87c-fd55f294faa2,fc00f55a-e5ba-4d97-979d-36b65a8b9d21,1
ded4b25a-e5c2-42df-a87c-fd55f294faa2,ffaa2713-37c9-44f1-bcbd-41278a6383d7,1
fc00f55a-e5ba-4d97-979d-36b65a8b9d21,ffaa2713-37c9-44f1-bcbd-41278a6383d7,1
