artist_id,artist_name,role_type,target_type,target_id,area,tags,genres
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,performer,recording,b3181431-760f-4002-855f-3cce4a1bf499,United States,90s;acoustic rock;alternative metal;alternative rock;american;estados unidos;grunge;noise rock;post-hardcore;punk;punk rock;rock;seattle;sludge metal;united states;usa,acoustic rock;alternative metal;alternative rock;grunge;noise rock;post-hardcore;punk;punk rock;rock;sludge metal
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,producer,recording,b1494c77-c494-408f-a76e-249f2ce04102,United States,90s;acoustic rock;alternative metal;alternative rock;american;estados unidos;grunge;noise rock;post-hardcore;punk;punk rock;rock;seattle;sludge metal;united states;usa,acoustic rock;alternative metal;alternative rock;grunge;noise rock;post-hardcore;punk;punk rock;rock;sludge metal
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,producer,recording,5fc741af-3d5d-45e9-ac0f-986007563763,United States,90s;acoustic rock;alternative metal;alternative rock;american;estados unidos;grunge;noise rock;post-hardcore;punk;punk rock;rock;seattle;sludge metal;united states;usa,acoustic rock;alternative metal;alternative rock;grunge;noise rock;post-hardcore;punk;punk rock;rock;sludge metal
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,producer,recording,7cf8b65e-a6f5-49fe-b2d2-cf49f8370c34,United States,90s;acoustic rock;alternative metal;alternative rock;american;estados unidos;grunge;noise rock;post-hardcore;punk;punk rock;rock;seattle;sludge metal;united states;usa,acoustic rock;alternative metal;alternative rock;grunge;noise rock;post-hardcore;punk;punk rock;rock;sludge metal
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,producer,recording,161a2ef7-1dac-43d2-8167-827f9e2e9666,United States,90s;acoustic rock;alternative metal;alternative rock;american;estados unidos;grunge;noise rock;post-hardcore;punk;punk rock;rock;seattle;sludge metal;united states;usa,acoustic rock;alternative metal;alternative rock;grunge;noise rock;post-hardcore;punk;punk rock;rock;sludge metal
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,producer,recording,bc165198-c792-4b65-b47c-6abbd436e518,United States,90s;acoustic rock;alternative metal;alternative rock;american;estados unidos;grunge;noise rock;post-hardcore;punk;punk rock;rock;seattle;sludge metal;united states;usa,acoustic rock;alternative metal;alternative rock;grunge;noise rock;post-hardcore;punk;punk rock;rock;sludge metal
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,producer,recording,41f21e90-9611-494e-a6ea-071d694ad1e1,United States,90s;acoustic rock;alternative metal;alternative rock;american;estados unidos;grunge;noise rock;post-hardcore;punk;punk rock;rock;seattle;sludge metal;united states;usa,acoustic rock;alternative metal;alternative rock;grunge;noise rock;post-hardcore;punk;punk rock;rock;sludge metal
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,producer,recording,05f801ed-4168-4a57-812a-978c77f5aad4,United States,90s;acoustic rock;alternative metal;alternative rock;american;estados unidos;grunge;noise rock;post-hardcore;punk;punk rock;rock;seattle;sludge metal;united states;usa,acoustic rock;alternative metal;alternative rock;grunge;noise rock;post-hardcore;punk;punk rock;rock;sludge metal
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,producer,recording,0cf9f95f-70e7-4f2e-8075-5d8ba38dd4a3,United States,90s;acoustic rock;alternative metal;alternative rock;american;estados unidos;grunge;noise rock;post-hardcore;punk;punk rock;rock;seattle;sludge metal;united states;usa,acoustic rock;alternative metal;alternative rock;grunge;noise rock;post-hardcore;punk;punk rock;rock;sludge metal
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,producer,recording,70ac6733-068f-4613-b06b-bea17cfbcc30,United States,90s;acoustic rock;alternative metal;alternative rock;american;estados unidos;grunge;noise rock;post-hardcore;punk;punk rock;rock;seattle;sludge metal;united states;usa,acoustic rock;alternative metal;alternative rock;grunge;noise rock;post-hardcore;punk;punk rock;rock;sludge metal
