artist_mbid,artist_name,rg_mbid,rg_title,primary_type,first_release_date,first_release_year
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,2e2cbb56-99ad-3997-b418-4f6eece6f0a9,"Hot 97: Platinum, Volume 17",Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,b1b5dddb-4dd5-339f-9d8d-04dc139cae94,"Hot Joints, Volume 2",Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,76f08f5c-19af-47f6-89d4-656e64cc4a41,Jay-Z at Studio One,Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,fc3e26c0-a5c3-3118-a035-9f3fb6e0573c,Money to Burn (4th Edition),Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,88b1a02e-c9ea-3f53-bb36-a3d9d9742592,Nas vs. Jay-Z (Collectors Edition),Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,414c3b67-e40f-3bee-9cb2-ee69250393eb,Rap Phenomenon III,Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,5a75f3f4-7198-4016-be8b-3fdd8d688852,Rare And Unreleased,Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,e3486e18-e9af-3e0a-84be-595e09993985,Ride Out (Mixed by DJ Entyce & Doo Wop),Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,8cc1ee2a-79a6-4c5e-bc4f-27815ede304e,TIDAL Talk: A Conversation with Jack Dorsey and JAY-Z,Single,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,1f9bbf45-564c-36e9-be15-afbab71bfb18,The Best of J. Hova,Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,0abeba03-357d-33c0-a3c6-e746d766d46e,The Big Boy Game,Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,deec45dd-b773-3518-a3f4-7f875ec194f4,The Black & Tan Album,Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,ef9c3e7c-d731-4e87-9b0a-5994dc56c02a,The Blueprint 3,EP,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,21adf60e-253d-3316-b7cb-6e0da1c08ef1,The Hit List 16,Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,ecb425e0-63bf-3793-85e5-83df713ba5f6,The Latin Album,Album,,
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,bcd3a82e-4dea-35a4-af5c-bfcefce86a91,The New York Mixtape Massacre (Mixed by DJ Envy),Album,,
f0602f55-1770-483d-89bd-4bae0d0ac086,Jennifer Lopez,f89e7f08-f8f9-4163-b792-5e0de88a97b9,DMC DJ Promo 234: Pre-Release and Future Chart Hits,Album,2018-08,2018.0
680f50a8-ae81-478c-93ff-07447a98ae5c,Jhonny Evidence,dedc6962-4ab1-413e-84bf-95a390b2d3d6,Perfecta (Bachata Version),Single,2022-08-19,2022.0
09b1b896-7522-4f38-9711-9c80c8121082,Johandy,dedc6962-4ab1-413e-84bf-95a390b2d3d6,Perfecta (Bachata Version),Single,2022-08-19,2022.0
09b1b896-7522-4f38-9711-9c80c8121082,Johandy,9cd36043-ffae-49e6-8913-d4ffe018a30e,Amigos Con Derechos,Single,,
93094f68-d3dd-44d7-9d0f-86faf22723a4,Johanna Pellerin,e9387443-2b79-44e9-986e-1c76874e4746,It's You (Bachata Version),Single,,
6ed02f44-34dc-4767-a323-6205a0a27819,Kewin Cosmos,166549ef-1602-4fed-9d9f-53b0620e9791,No Guidance (Bachata Version),Single,,
c4de5739-19c3-420f-a6de-c1b4e4b821a1,Manny Rod,3e7d0539-62ef-4dcf-b3a6-0ec9e8642bb9,Bailar Pegados (Bachata Version),Single,,
c4de5739-19c3-420f-a6de-c1b4e4b821a1,Manny Rod,02172ac7-83ba-447a-8710-81decafe62bb,Sabrás (Bachata Version),Single,,
